Number of district judges working in district subordinate court in Rajasthan of SC category is 36
Number of district judges working in district subordinate court in Rajasthan of ST category is 13
Number of district judges working in district subordinate court in Rajasthan of OBC category is 84
Number of district judges working in district subordinate court in Rajasthan of Specially Abled category is 2
Number of district judges working in district subordinate court in Rajasthan of Women category is 104

Number of district judges working in district subordinate court in Sikkim of SC category is 0
Number of district judges working in district subordinate court in Sikkim of ST category is 4
Number of district judges working in district subordinate court in Sikkim of OBC category is 6
Number of district judges working in district subordinate court in Sikkim of Specially Abled category is 0
Number of district judges working in district subordinate court in Sikkim of Women category is 3

Number of district judges working in district subordinate court in Tamil Nadu of SC category is 46
Number of district judges working in district subordinate court in Tamil Nadu of ST category is 1
Number of district judges working in district subordinate court in Tamil Nadu of OBC category is 232
Number of district judges working in district subordinate court in Tamil Nadu of Specially Abled category is 0
Number of district judges working in district subordinate court in Tamil Nadu of Women category is 0

Number of district judges working in district subordinate court in Telangana of SC category is 15
Number of district judges working in district subordinate court in Telangana of ST category is 8
Number of district judges working in district subordinate court in Telangana of OBC category is 58
Number of district judges working in district subordinate court in Telangana of Specially Abled category is 1
Number of district judges working in district subordinate court in Telangana of Women category is 56

Number of district judges working in district subordinate court in Tripura of SC category is 3
Number of district judges working in district subordinate court in Tripura of ST category is 6
Number of district judges working in district subordinate court in Tripura of OBC category is 0
Number of district judges working in district subordinate court in Tripura of Specially Abled category is 0
Number of district judges working in district subordinate court in Tripura of Women category is 3

Number of district judges working in district subordinate court in Uttar Pradesh of SC category is 178
Number of district judges working in district subordinate court in Uttar Pradesh of ST category is 7
Number of district judges working in district subordinate court in Uttar Pradesh of OBC category is 331
Number of district judges working in district subordinate court in Uttar Pradesh of Specially Abled category is 1
Number of district judges working in district subordinate court in Uttar Pradesh of Women category is 188

Number of district judges working in district subordinate court in Uttarakhand of SC category is 13
Number of district judges working in district subordinate court in Uttarakhand of ST category is 9
Number of district judges working in district subordinate court in Uttarakhand of OBC category is 11
Number of district judges working in district subordinate court in Uttarakhand of Specially Abled category is 0
Number of district judges working in district subordinate court in Uttarakhand of Women category is 21

Number of district judges working in district subordinate court in West Bengal of SC category is 0
Number of district judges working in district subordinate court in West Bengal of ST category is 0
Number of district judges working in district subordinate court in West Bengal of OBC category is 0
Number of district judges working in district subordinate court in West Bengal of Specially Abled category is 0
Number of district judges working in district subordinate court in West Bengal of Women category is 40

Number of Jr judges working in district subordinate court in Andaman & Nicobar of SC category is 0
Number of Jr judges working in district subordinate court in Andaman & Nicobar of ST category is 0
Number of Jr judges working in district subordinate court in Andaman & Nicobar of OBC category is 0
Number of Jr judges working in district subordinate court in Andaman & Nicobar of Specially Abled category is 4
Number of Jr judges working in district subordinate court in Andaman & Nicobar of Women category is 4

Number of Jr judges working in district subordinate court in Andhra Pradesh of SC category is 45
Number of Jr judges working in district subordinate court in Andhra Pradesh of ST category is 18
Number of Jr judges working in district subordinate court in Andhra Pradesh of OBC category is 118
Number of Jr judges working in district subordinate court in Andhra Pradesh of Specially Abled category is 106
Number of Jr judges working in district subordinate court in Andhra Pradesh of Women category is 287

Number of Jr judges working in district subordinate court in Arunachal Pradesh of SC category is 0
Number of Jr judges working in district subordinate court in Arunachal Pradesh of ST category is 12
Number of Jr judges working in district subordinate court in Arunachal Pradesh of OBC category is 0
Number of Jr judges working in district subordinate court in Arunachal Pradesh of Specially Abled category is 0
Number of Jr judges working in district subordinate court in Arunachal Pradesh of Women category is 12

Number of Jr judges working in district subordinate court in Assam of SC category is 15
Number of Jr judges working in district subordinate court in Assam of ST category is 22
Number of Jr judges working in district subordinate court in Assam of OBC category is 0
Number of Jr judges working in district subordinate court in Assam of Specially Abled category is 141
Number of Jr judges working in district subordinate court in Assam of Women category is 178

Number of Jr judges working in district subordinate court in Bihar of SC category is 115
Number of Jr judges working in district subordinate court in Bihar of ST category is 9
Number of Jr judges working in district subordinate court in Bihar of OBC category is 254
Number of Jr judges working in district subordinate court in Bihar of Specially Abled category is 253
Number of Jr judges working in district subordinate court in Bihar of Women category is 631

Number of Jr judges working in district subordinate court in Chandigarh of SC category is 3
Number of Jr judges working in district subordinate court in Chandigarh of ST category is 0
Number of Jr judges working in district subordinate court in Chandigarh of OBC category is 2
Number of Jr judges working in district subordinate court in Chandigarh of Specially Abled category is 13
Number of Jr judges working in district subordinate court in Chandigarh of Women category is 18

Number of Jr judges working in district subordinate court in Chhattisgarh of SC category is 28
Number of Jr judges working in district subordinate court in Chhattisgarh of ST category is 64
Number of Jr judges working in district subordinate court in Chhattisgarh of OBC category is 34
Number of Jr judges working in district subordinate court in Chhattisgarh of Specially Abled category is 42
Number of Jr judges working in district subordinate court in Chhattisgarh of Women category is 168

Number of Jr judges working in district subordinate court in D & N Haveli of SC category is 0
Number of Jr judges working in district subordinate court in D & N Haveli of ST category is 0
Number of Jr judges working in district subordinate court in D & N Haveli of OBC category is 1
Number of Jr judges working in district subordinate court in D & N Haveli of Specially Abled category is 0
Number of Jr judges working in district subordinate court in D & N Haveli of Women category is 1

Number of Jr judges working in district subordinate court in Daman & Diu of SC category is 0
Number of Jr judges working in district subordinate court in Daman & Diu of ST category is 0
Number of Jr judges working in district subordinate court in Daman & Diu of OBC category is 0
Number of Jr judges working in district subordinate court in Daman & Diu of Specially Abled category is 1
Number of Jr judges working in district subordinate court in Daman & Diu of Women category is 1

Number of Jr judges working in district subordinate court in Delhi of SC category is 55
Number of Jr judges working in district subordinate court in Delhi of ST category is 6
Number of Jr judges working in district subordinate court in Delhi of OBC category is 0
Number of Jr judges working in district subordinate court in Delhi of Specially Abled category is 247
Number of Jr judges working in district subordinate court in Delhi of Women category is 308

Number of Jr judges working in district subordinate court in Goa of SC category is 0
Number of Jr judges working in district subordinate court in Goa of ST category is 2
Number of Jr judges working in district subordinate court in Goa of OBC category is 0
Number of Jr judges working in district subordinate court in Goa of Specially Abled category is 17
Number of Jr judges working in district subordinate court in Goa of Women category is 19

Number of Jr judges working in district subordinate court in Gujarat of SC category is 54
Number of Jr judges working in district subordinate court in Gujarat of ST category is 1
Number of Jr judges working in district subordinate court in Gujarat of OBC category is 31
Number of Jr judges working in district subordinate court in Gujarat of Specially Abled category is 364
Number of Jr judges working in district subordinate court in Gujarat of Women category is 450

Number of Jr judges working in district subordinate court in Haryana of SC category is 38
Number of Jr judges working in district subordinate court in Haryana of ST category is 0
Number of Jr judges working in district subordinate court in Haryana of OBC category is 35
Number of Jr judges working in district subordinate court in Haryana of Specially Abled category is 83
Number of Jr judges working in district subordinate court in Haryana of Women category is 156

Number of Jr judges working in district subordinate court in Himachal Pradesh of SC category is 9
Number of Jr judges working in district subordinate court in Himachal Pradesh of ST category is 3
Number of Jr judges working in district subordinate court in Himachal Pradesh of OBC category is 6
Number of Jr judges working in district subordinate court in Himachal Pradesh of Specially Abled category is 48
Number of Jr judges working in district subordinate court in Himachal Pradesh of Women category is 66

Number of Jr judges working in district subordinate court in Jammu & Kashmir of SC category is 9
Number of Jr judges working in district subordinate court in Jammu & Kashmir of ST category is 6
Number of Jr judges working in district subordinate court in Jammu & Kashmir of OBC category is 2
Number of Jr judges working in district subordinate court in Jammu & Kashmir of Specially Abled category is 65
Number of Jr judges working in district subordinate court in Jammu & Kashmir of Women category is 82

Number of Jr judges working in district subordinate court in Jharkhand of SC category is 20
Number of Jr judges working in district subordinate court in Jharkhand of ST category is 55
Number of Jr judges working in district subordinate court in Jharkhand of OBC category is 19
Number of Jr judges working in district subordinate court in Jharkhand of Specially Abled category is 85
Number of Jr judges working in district subordinate court in Jharkhand of Women category is 179

Number of Jr judges working in district subordinate court in Karnataka of SC category is 76
Number of Jr judges working in district subordinate court in Karnataka of ST category is 15
Number of Jr judges working in district subordinate court in Karnataka of OBC category is 134
Number of Jr judges working in district subordinate court in Karnataka of Specially Abled category is 230
Number of Jr judges working in district subordinate court in Karnataka of Women category is 455

Number of Jr judges working in district subordinate court in Kerala of SC category is 18
Number of Jr judges working in district subordinate court in Kerala of ST category is 1
Number of Jr judges working in district subordinate court in Kerala of OBC category is 90
Number of Jr judges working in district subordinate court in Kerala of Specially Abled category is 91
Number of Jr judges working in district subordinate court in Kerala of Women category is 200

Number of Jr judges working in district subordinate court in Ladakh of SC category is 0
Number of Jr judges working in district subordinate court in Ladakh of ST category is 4
Number of Jr judges working in district subordinate court in Ladakh of OBC category is 0
Number of Jr judges working in district subordinate court in Ladakh of Specially Abled category is 0
Number of Jr judges working in district subordinate court in Ladakh of Women category is 4

Number of Jr judges working in district subordinate court in Lakshadweep of SC category is 0
Number of Jr judges working in district subordinate court in Lakshadweep of ST category is 0
Number of Jr judges working in district subordinate court in Lakshadweep of OBC category is 0
Number of Jr judges working in district subordinate court in Lakshadweep of Specially Abled category is 1
Number of Jr judges working in district subordinate court in Lakshadweep of Women category is 1

Number of Jr judges working in district subordinate court in Madhya Pradesh of SC category is 104
Number of Jr judges working in district subordinate court in Madhya Pradesh of ST category is 90
Number of Jr judges working in district subordinate court in Madhya Pradesh of OBC category is 109
Number of Jr judges working in district subordinate court in Madhya Pradesh of Specially Abled category is 245
Number of Jr judges working in district subordinate court in Madhya Pradesh of Women category is 548

Number of Jr judges working in district subordinate court in Maharashtra of SC category is 140
Number of Jr judges working in district subordinate court in Maharashtra of ST category is 2
Number of Jr judges working in district subordinate court in Maharashtra of OBC category is 266
Number of Jr judges working in district subordinate court in Maharashtra of Specially Abled category is 512
Number of Jr judges working in district subordinate court in Maharashtra of Women category is 920

Number of Jr judges working in district subordinate court in Manipur of SC category is 1
Number of Jr judges working in district subordinate court in Manipur of ST category is 4
Number of Jr judges working in district subordinate court in Manipur of OBC category is 3
Number of Jr judges working in district subordinate court in Manipur of Specially Abled category is 1
Number of Jr judges working in district subordinate court in Manipur of Women category is 9

Number of Jr judges working in district subordinate court in Meghalaya of SC category is 0
Number of Jr judges working in district subordinate court in Meghalaya of ST category is 19
Number of Jr judges working in district subordinate court in Meghalaya of OBC category is 0
Number of Jr judges working in district subordinate court in Meghalaya of Specially Abled category is 0
Number of Jr judges working in district subordinate court in Meghalaya of Women category is 19

Number of Jr judges working in district subordinate court in Mizoram of SC category is 0
Number of Jr judges working in district subordinate court in Mizoram of ST category is 16
Number of Jr judges working in district subordinate court in Mizoram of OBC category is 0
Number of Jr judges working in district subordinate court in Mizoram of Specially Abled category is 0
Number of Jr judges working in district subordinate court in Mizoram of Women category is 16

Number of Jr judges working in district subordinate court in Nagaland of SC category is 0
Number of Jr judges working in district subordinate court in Nagaland of ST category is 0
Number of Jr judges working in district subordinate court in Nagaland of OBC category is 0
Number of Jr judges working in district subordinate court in Nagaland of Specially Abled category is 7
Number of Jr judges working in district subordinate court in Nagaland of Women category is 7

Number of Jr judges working in district subordinate court in Odisha of SC category is 17
Number of Jr judges working in district subordinate court in Odisha of ST category is 0
Number of Jr judges working in district subordinate court in Odisha of OBC category is 53
Number of Jr judges working in district subordinate court in Odisha of Specially Abled category is 246
Number of Jr judges working in district subordinate court in Odisha of Women category is 316

Number of Jr judges working in district subordinate court in Puducherry of SC category is 0
Number of Jr judges working in district subordinate court in Puducherry of ST category is 0
Number of Jr judges working in district subordinate court in Puducherry of OBC category is 4
Number of Jr judges working in district subordinate court in Puducherry of Specially Abled category is 1
Number of Jr judges working in district subordinate court in Puducherry of Women category is 5

Number of Jr judges working in district subordinate court in Punjab of SC category is 79
Number of Jr judges working in district subordinate court in Punjab of ST category is 0
Number of Jr judges working in district subordinate court in Punjab of OBC category is 45
Number of Jr judges working in district subordinate court in Punjab of Specially Abled category is 158
Number of Jr judges working in district subordinate court in Punjab of Women category is 282

Number of Jr judges working in district subordinate court in Rajasthan of SC category is 65
Number of Jr judges working in district subordinate court in Rajasthan of ST category is 58
Number of Jr judges working in district subordinate court in Rajasthan of OBC category is 103
Number of Jr judges working in district subordinate court in Rajasthan of Specially Abled category is 195
Number of Jr judges working in district subordinate court in Rajasthan of Women category is 421

Number of Jr judges working in district subordinate court in Sikkim of SC category is 0
Number of Jr judges working in district subordinate court in Sikkim of ST category is 2
Number of Jr judges working in district subordinate court in Sikkim of OBC category is 5
Number of Jr judges working in district subordinate court in Sikkim of Specially Abled category is 0
Number of Jr judges working in district subordinate court in Sikkim of Women category is 7

Number of Jr judges working in district subordinate court in Tamil Nadu of SC category is 120
Number of Jr judges working in district subordinate court in Tamil Nadu of ST category is 5
Number of Jr judges working in district subordinate court in Tamil Nadu of OBC category is 364
Number of Jr judges working in district subordinate court in Tamil Nadu of Specially Abled category is 6
Number of Jr judges working in district subordinate court in Tamil Nadu of Women category is 495

Number of Jr judges working in district subordinate court in Telangana of SC category is 39
Number of Jr judges working in district subordinate court in Telangana of ST category is 22
Number of Jr judges working in district subordinate court in Telangana of OBC category is 99
Number of Jr judges working in district subordinate court in Telangana of Specially Abled category is 64
Number of Jr judges working in district subordinate court in Telangana of Women category is 224

Number of Jr judges working in district subordinate court in Tripura of SC category is 5
Number of Jr judges working in district subordinate court in Tripura of ST category is 7
Number of Jr judges working in district subordinate court in Tripura of OBC category is 0
Number of Jr judges working in district subordinate court in Tripura of Specially Abled category is 24
Number of Jr judges working in district subordinate court in Tripura of Women category is 36

Number of Jr judges working in district subordinate court in Uttar Pradesh of SC category is 193
Number of Jr judges working in district subordinate court in Uttar Pradesh of ST category is 15
Number of Jr judges working in district subordinate court in Uttar Pradesh of OBC category is 272
Number of Jr judges working in district subordinate court in Uttar Pradesh of Specially Abled category is 331
Number of Jr judges working in district subordinate court in Uttar Pradesh of Women category is 811

Number of Jr judges working in district subordinate court in Uttarakhand of SC category is 20
Number of Jr judges working in district subordinate court in Uttarakhand of ST category is 4
Number of Jr judges working in district subordinate court in Uttarakhand of OBC category is 17
Number of Jr judges working in district subordinate court in Uttarakhand of Specially Abled category is 54
Number of Jr judges working in district subordinate court in Uttarakhand of Women category is 95

Number of Jr judges working in district subordinate court in West Bengal of SC category is 0
Number of Jr judges working in district subordinate court in West Bengal of ST category is 0
Number of Jr judges working in district subordinate court in West Bengal of OBC category is 0
Number of Jr judges working in district subordinate court in West Bengal of Specially Abled category is 0
Number of Jr judges working in district subordinate court in West Bengal of Women category is 398

Number of judges sanctioned in Supreme Court is 34
Number of judges working in Supreme Court is 34
Number of vacancies in Supreme Court is 0

Number of judges sanctioned in Allahabad High Court is 160
Number of judges working in Allahabad High Court is 84
Number of vacancies in Allahabad High Court is 76

Number of judges sanctioned in Andhra Pradesh High Court is 37
Number of judges working in Andhra Pradesh High Court is 28
Number of vacancies in Andhra Pradesh High Court is 9

Number of judges sanctioned in Bombay High Court is 94
Number of judges working in Bombay High Court is 66
Number of vacancies in Bombay High Court is 28

Number of judges sanctioned in Calcutta High Court is 72
Number of judges working in Calcutta High Court is 44
Number of vacancies in Calcutta High Court is 28

Number of judges sanctioned in Chhattisgarh High Court is 22
Number of judges working in Chhattisgarh High Court is 15
Number of vacancies in Chhattisgarh High Court is 7

Number of judges sanctioned in Delhi High Court is 60
Number of judges working in Delhi High Court is 39
Number of vacancies in Delhi High Court is 21

Number of judges sanctioned in Gauhati High Court is 30
Number of judges working in Gauhati High Court is 24
Number of vacancies in Gauhati High Court is 6

Number of judges sanctioned in Gujarat High Court is 52
Number of judges working in Gujarat High Court is 29
Number of vacancies in Gujarat High Court is 23

Number of judges sanctioned in Himachal Pradesh High Court is 17
Number of judges working in Himachal Pradesh High Court is 12
Number of vacancies in Himachal Pradesh High Court is 5

Number of judges sanctioned in J & K and Ladakh High Court is 17
Number of judges working in J & K and Ladakh High Court is 15
Number of vacancies in J & K and Ladakh High Court is 2

Number of judges sanctioned in Jharkhand High Court is 25
