Title,text
,District Subordinate Jr Judge Working of Andaman & Nicobar of SC category is 0
,District Subordinate Jr Judge Working of Andaman & Nicobar of ST category is 0
,District Subordinate Jr Judge Working of Andaman & Nicobar of OBC category is 0
,District Subordinate Jr Judge Working of Andaman & Nicobar of Specially Abled category is 4
,District Subordinate Jr Judge Working of Andaman & Nicobar of Women category is 4
,
,District Subordinate Jr Judge Working of Andhra Pradesh of SC category is 45
,District Subordinate Jr Judge Working of Andhra Pradesh of ST category is 18
,District Subordinate Jr Judge Working of Andhra Pradesh of OBC category is 118
,District Subordinate Jr Judge Working of Andhra Pradesh of Specially Abled category is 106
,District Subordinate Jr Judge Working of Andhra Pradesh of Women category is 287
,
,District Subordinate Jr Judge Working of Arunachal Pradesh of SC category is 0
,District Subordinate Jr Judge Working of Arunachal Pradesh of ST category is 12
,District Subordinate Jr Judge Working of Arunachal Pradesh of OBC category is 0
,District Subordinate Jr Judge Working of Arunachal Pradesh of Specially Abled category is 0
,District Subordinate Jr Judge Working of Arunachal Pradesh of Women category is 12
,
,District Subordinate Jr Judge Working of Assam of SC category is 15
,District Subordinate Jr Judge Working of Assam of ST category is 22
,District Subordinate Jr Judge Working of Assam of OBC category is 0
,District Subordinate Jr Judge Working of Assam of Specially Abled category is 141
,District Subordinate Jr Judge Working of Assam of Women category is 178
,
,District Subordinate Jr Judge Working of Bihar of SC category is 115
,District Subordinate Jr Judge Working of Bihar of ST category is 9
,District Subordinate Jr Judge Working of Bihar of OBC category is 254
,District Subordinate Jr Judge Working of Bihar of Specially Abled category is 253
,District Subordinate Jr Judge Working of Bihar of Women category is 631
,
,District Subordinate Jr Judge Working of Chandigarh of SC category is 3
,District Subordinate Jr Judge Working of Chandigarh of ST category is 0
,District Subordinate Jr Judge Working of Chandigarh of OBC category is 2
,District Subordinate Jr Judge Working of Chandigarh of Specially Abled category is 13
,District Subordinate Jr Judge Working of Chandigarh of Women category is 18
,
,District Subordinate Jr Judge Working of Chhattisgarh of SC category is 28
,District Subordinate Jr Judge Working of Chhattisgarh of ST category is 64
,District Subordinate Jr Judge Working of Chhattisgarh of OBC category is 34
,District Subordinate Jr Judge Working of Chhattisgarh of Specially Abled category is 42
,District Subordinate Jr Judge Working of Chhattisgarh of Women category is 168
,
,District Subordinate Jr Judge Working of D & N Haveli of SC category is 0
,District Subordinate Jr Judge Working of D & N Haveli of ST category is 0
,District Subordinate Jr Judge Working of D & N Haveli of OBC category is 1
,District Subordinate Jr Judge Working of D & N Haveli of Specially Abled category is 0
,District Subordinate Jr Judge Working of D & N Haveli of Women category is 1
,
,District Subordinate Jr Judge Working of Daman & Diu of SC category is 0
,District Subordinate Jr Judge Working of Daman & Diu of ST category is 0
,District Subordinate Jr Judge Working of Daman & Diu of OBC category is 0
,District Subordinate Jr Judge Working of Daman & Diu of Specially Abled category is 1
,District Subordinate Jr Judge Working of Daman & Diu of Women category is 1
,
,District Subordinate Jr Judge Working of Delhi of SC category is 55
,District Subordinate Jr Judge Working of Delhi of ST category is 6
,District Subordinate Jr Judge Working of Delhi of OBC category is 0
,District Subordinate Jr Judge Working of Delhi of Specially Abled category is 247
,District Subordinate Jr Judge Working of Delhi of Women category is 308
,
,District Subordinate Jr Judge Working of Goa of SC category is 0
,District Subordinate Jr Judge Working of Goa of ST category is 2
,District Subordinate Jr Judge Working of Goa of OBC category is 0
,District Subordinate Jr Judge Working of Goa of Specially Abled category is 17
,District Subordinate Jr Judge Working of Goa of Women category is 19
,
,District Subordinate Jr Judge Working of Gujarat of SC category is 54
,District Subordinate Jr Judge Working of Gujarat of ST category is 1
,District Subordinate Jr Judge Working of Gujarat of OBC category is 31
,District Subordinate Jr Judge Working of Gujarat of Specially Abled category is 364
,District Subordinate Jr Judge Working of Gujarat of Women category is 450
,
,District Subordinate Jr Judge Working of Haryana of SC category is 38
,District Subordinate Jr Judge Working of Haryana of ST category is 0
,District Subordinate Jr Judge Working of Haryana of OBC category is 35
,District Subordinate Jr Judge Working of Haryana of Specially Abled category is 83
,District Subordinate Jr Judge Working of Haryana of Women category is 156
,
,District Subordinate Jr Judge Working of Himachal Pradesh of SC category is 9
,District Subordinate Jr Judge Working of Himachal Pradesh of ST category is 3
,District Subordinate Jr Judge Working of Himachal Pradesh of OBC category is 6
,District Subordinate Jr Judge Working of Himachal Pradesh of Specially Abled category is 48
,District Subordinate Jr Judge Working of Himachal Pradesh of Women category is 66
,
,District Subordinate Jr Judge Working of Jammu & Kashmir of SC category is 9
,District Subordinate Jr Judge Working of Jammu & Kashmir of ST category is 6
,District Subordinate Jr Judge Working of Jammu & Kashmir of OBC category is 2
,District Subordinate Jr Judge Working of Jammu & Kashmir of Specially Abled category is 65
,District Subordinate Jr Judge Working of Jammu & Kashmir of Women category is 82
,
,District Subordinate Jr Judge Working of Jharkhand of SC category is 20
,District Subordinate Jr Judge Working of Jharkhand of ST category is 55
,District Subordinate Jr Judge Working of Jharkhand of OBC category is 19
,District Subordinate Jr Judge Working of Jharkhand of Specially Abled category is 85
,District Subordinate Jr Judge Working of Jharkhand of Women category is 179
,
,District Subordinate Jr Judge Working of Karnataka of SC category is 76
,District Subordinate Jr Judge Working of Karnataka of ST category is 15
,District Subordinate Jr Judge Working of Karnataka of OBC category is 134
,District Subordinate Jr Judge Working of Karnataka of Specially Abled category is 230
,District Subordinate Jr Judge Working of Karnataka of Women category is 455
,
,District Subordinate Jr Judge Working of Kerala of SC category is 18
,District Subordinate Jr Judge Working of Kerala of ST category is 1
,District Subordinate Jr Judge Working of Kerala of OBC category is 90
,District Subordinate Jr Judge Working of Kerala of Specially Abled category is 91
,District Subordinate Jr Judge Working of Kerala of Women category is 200
,
,District Subordinate Jr Judge Working of Ladakh of SC category is 0
,District Subordinate Jr Judge Working of Ladakh of ST category is 4
,District Subordinate Jr Judge Working of Ladakh of OBC category is 0
,District Subordinate Jr Judge Working of Ladakh of Specially Abled category is 0
,District Subordinate Jr Judge Working of Ladakh of Women category is 4
,
,District Subordinate Jr Judge Working of Lakshadweep of SC category is 0
,District Subordinate Jr Judge Working of Lakshadweep of ST category is 0
,District Subordinate Jr Judge Working of Lakshadweep of OBC category is 0
,District Subordinate Jr Judge Working of Lakshadweep of Specially Abled category is 1
,District Subordinate Jr Judge Working of Lakshadweep of Women category is 1
,
,District Subordinate Jr Judge Working of Madhya Pradesh of SC category is 104
,District Subordinate Jr Judge Working of Madhya Pradesh of ST category is 90
,District Subordinate Jr Judge Working of Madhya Pradesh of OBC category is 109
,District Subordinate Jr Judge Working of Madhya Pradesh of Specially Abled category is 245
,District Subordinate Jr Judge Working of Madhya Pradesh of Women category is 548
,
,District Subordinate Jr Judge Working of Maharashtra of SC category is 140
,District Subordinate Jr Judge Working of Maharashtra of ST category is 2
,District Subordinate Jr Judge Working of Maharashtra of OBC category is 266
,District Subordinate Jr Judge Working of Maharashtra of Specially Abled category is 512
,District Subordinate Jr Judge Working of Maharashtra of Women category is 920
,
,District Subordinate Jr Judge Working of Manipur of SC category is 1
,District Subordinate Jr Judge Working of Manipur of ST category is 4
,District Subordinate Jr Judge Working of Manipur of OBC category is 3
,District Subordinate Jr Judge Working of Manipur of Specially Abled category is 1
,District Subordinate Jr Judge Working of Manipur of Women category is 9
,
,District Subordinate Jr Judge Working of Meghalaya of SC category is 0
,District Subordinate Jr Judge Working of Meghalaya of ST category is 19
,District Subordinate Jr Judge Working of Meghalaya of OBC category is 0
,District Subordinate Jr Judge Working of Meghalaya of Specially Abled category is 0
,District Subordinate Jr Judge Working of Meghalaya of Women category is 19
,
,District Subordinate Jr Judge Working of Mizoram of SC category is 0
,District Subordinate Jr Judge Working of Mizoram of ST category is 16
,District Subordinate Jr Judge Working of Mizoram of OBC category is 0
,District Subordinate Jr Judge Working of Mizoram of Specially Abled category is 0
,District Subordinate Jr Judge Working of Mizoram of Women category is 16
,
,District Subordinate Jr Judge Working of Nagaland of SC category is 0
,District Subordinate Jr Judge Working of Nagaland of ST category is 0
,District Subordinate Jr Judge Working of Nagaland of OBC category is 0
,District Subordinate Jr Judge Working of Nagaland of Specially Abled category is 7
,District Subordinate Jr Judge Working of Nagaland of Women category is 7
,
,District Subordinate Jr Judge Working of Odisha of SC category is 17
,District Subordinate Jr Judge Working of Odisha of ST category is 0
,District Subordinate Jr Judge Working of Odisha of OBC category is 53
,District Subordinate Jr Judge Working of Odisha of Specially Abled category is 246
,District Subordinate Jr Judge Working of Odisha of Women category is 316
,
,District Subordinate Jr Judge Working of Puducherry of SC category is 0
,District Subordinate Jr Judge Working of Puducherry of ST category is 0
,District Subordinate Jr Judge Working of Puducherry of OBC category is 4
,District Subordinate Jr Judge Working of Puducherry of Specially Abled category is 1
,District Subordinate Jr Judge Working of Puducherry of Women category is 5
,
,District Subordinate Jr Judge Working of Punjab of SC category is 79
,District Subordinate Jr Judge Working of Punjab of ST category is 0
,District Subordinate Jr Judge Working of Punjab of OBC category is 45
,District Subordinate Jr Judge Working of Punjab of Specially Abled category is 158
,District Subordinate Jr Judge Working of Punjab of Women category is 282
,
,District Subordinate Jr Judge Working of Rajasthan of SC category is 65
,District Subordinate Jr Judge Working of Rajasthan of ST category is 58
,District Subordinate Jr Judge Working of Rajasthan of OBC category is 103
,District Subordinate Jr Judge Working of Rajasthan of Specially Abled category is 195
,District Subordinate Jr Judge Working of Rajasthan of Women category is 421
,
,District Subordinate Jr Judge Working of Sikkim of SC category is 0
,District Subordinate Jr Judge Working of Sikkim of ST category is 2
,District Subordinate Jr Judge Working of Sikkim of OBC category is 5
,District Subordinate Jr Judge Working of Sikkim of Specially Abled category is 0
,District Subordinate Jr Judge Working of Sikkim of Women category is 7
,
,District Subordinate Jr Judge Working of Tamil Nadu of SC category is 120
,District Subordinate Jr Judge Working of Tamil Nadu of ST category is 5
,District Subordinate Jr Judge Working of Tamil Nadu of OBC category is 364
,District Subordinate Jr Judge Working of Tamil Nadu of Specially Abled category is 6
,District Subordinate Jr Judge Working of Tamil Nadu of Women category is 495
,
,District Subordinate Jr Judge Working of Telangana of SC category is 39
,District Subordinate Jr Judge Working of Telangana of ST category is 22
,District Subordinate Jr Judge Working of Telangana of OBC category is 99
,District Subordinate Jr Judge Working of Telangana of Specially Abled category is 64
,District Subordinate Jr Judge Working of Telangana of Women category is 224
,
,District Subordinate Jr Judge Working of Tripura of SC category is 5
,District Subordinate Jr Judge Working of Tripura of ST category is 7
,District Subordinate Jr Judge Working of Tripura of OBC category is 0
,District Subordinate Jr Judge Working of Tripura of Specially Abled category is 24
,District Subordinate Jr Judge Working of Tripura of Women category is 36
,
,District Subordinate Jr Judge Working of Uttar Pradesh of SC category is 193
,District Subordinate Jr Judge Working of Uttar Pradesh of ST category is 15
,District Subordinate Jr Judge Working of Uttar Pradesh of OBC category is 272
,District Subordinate Jr Judge Working of Uttar Pradesh of Specially Abled category is 331
,District Subordinate Jr Judge Working of Uttar Pradesh of Women category is 811
,
,District Subordinate Jr Judge Working of Uttarakhand of SC category is 20
,District Subordinate Jr Judge Working of Uttarakhand of ST category is 4
,District Subordinate Jr Judge Working of Uttarakhand of OBC category is 17
,District Subordinate Jr Judge Working of Uttarakhand of Specially Abled category is 54
,District Subordinate Jr Judge Working of Uttarakhand of Women category is 95
,
,District Subordinate Jr Judge Working of West Bengal of SC category is 0
,District Subordinate Jr Judge Working of West Bengal of ST category is 0
,District Subordinate Jr Judge Working of West Bengal of OBC category is 0
,District Subordinate Jr Judge Working of West Bengal of Specially Abled category is 398
,District Subordinate Jr Judge Working of West Bengal of Women category is 398
